model,season,rows,MAE,RMSE,WAPE_pct,mean_bias
seasonal_naive_lag_12,autumn,550,4228.532727,10113.457675,21.941531,-2322.874545
seasonal_naive_lag_12,spring,600,5750.593333,10040.092801,32.091690,-2969.653333
seasonal_naive_lag_12,summer,600,4640.951667,10720.785990,13.373701,-2401.131667
seasonal_naive_lag_12,winter,600,3415.006667,5838.157703,29.854153,-2080.756667
