Provincias con mayor número de pernoctaciones;Establecimientos y personal empleado (plazas);Periodo;Total
11 Cádiz;Grado de ocupación por plazas en fin de semana;2009M02;25,6
11 Cádiz;Grado de ocupación por plazas en fin de semana;2009M01;9,53
11 Cádiz;Grado de ocupación por plazas en fin de semana;2008M12;22,99
11 Cádiz;Grado de ocupación por plazas en fin de semana;2008M11;23,05
11 Cádiz;Grado de ocupación por plazas en fin de semana;2008M10;27,1
11 Cádiz;Grado de ocupación por plazas en fin de semana;2008M09;24,49
11 Cádiz;Grado de ocupación por plazas en fin de semana;2008M08;40,19
11 Cádiz;Grado de ocupación por plazas en fin de semana;2008M07;31,79
11 Cádiz;Grado de ocupación por plazas en fin de semana;2008M06;24,34
11 Cádiz;Grado de ocupación por plazas en fin de semana;2008M05;25,64
11 Cádiz;Grado de ocupación por plazas en fin de semana;2008M04;16,89
11 Cádiz;Grado de ocupación por plazas en fin de semana;2008M03;34,28
11 Cádiz;Grado de ocupación por plazas en fin de semana;2008M02;18,48
11 Cádiz;Grado de ocupación por plazas en fin de semana;2008M01;11,68
11 Cádiz;Grado de ocupación por plazas en fin de semana;2007M12;29,3
11 Cádiz;Grado de ocupación por plazas en fin de semana;2007M11;27,16
11 Cádiz;Grado de ocupación por plazas en fin de semana;2007M10;32,34
11 Cádiz;Grado de ocupación por plazas en fin de semana;2007M09;36,8
11 Cádiz;Grado de ocupación por plazas en fin de semana;2007M08;62,61
11 Cádiz;Grado de ocupación por plazas en fin de semana;2007M07;37,57
11 Cádiz;Grado de ocupación por plazas en fin de semana;2007M06;25,65
11 Cádiz;Grado de ocupación por plazas en fin de semana;2007M05;14,04
11 Cádiz;Grado de ocupación por plazas en fin de semana;2007M04;34,06
11 Cádiz;Grado de ocupación por plazas en fin de semana;2007M03;25,2
11 Cádiz;Grado de ocupación por plazas en fin de semana;2007M02;28,91
11 Cádiz;Grado de ocupación por plazas en fin de semana;2007M01;16,52
11 Cádiz;Grado de ocupación por plazas en fin de semana;2006M12;37,85
11 Cádiz;Grado de ocupación por plazas en fin de semana;2006M11;34,34
11 Cádiz;Grado de ocupación por plazas en fin de semana;2006M10;33,06
11 Cádiz;Grado de ocupación por plazas en fin de semana;2006M09;37,34
11 Cádiz;Grado de ocupación por plazas en fin de semana;2006M08;61,62
11 Cádiz;Grado de ocupación por plazas en fin de semana;2006M07;44,88
11 Cádiz;Grado de ocupación por plazas en fin de semana;2006M06;33,65
11 Cádiz;Grado de ocupación por plazas en fin de semana;2006M05;28,12
11 Cádiz;Grado de ocupación por plazas en fin de semana;2006M04;49,92
11 Cádiz;Grado de ocupación por plazas en fin de semana;2006M03;21,23
11 Cádiz;Grado de ocupación por plazas en fin de semana;2006M02;30,24
11 Cádiz;Grado de ocupación por plazas en fin de semana;2006M01;15,94
11 Cádiz;Grado de ocupación por plazas en fin de semana;2005M12;28,2
11 Cádiz;Grado de ocupación por plazas en fin de semana;2005M11;30,43
11 Cádiz;Grado de ocupación por plazas en fin de semana;2005M10;37,78
11 Cádiz;Grado de ocupación por plazas en fin de semana;2005M09;28,55
11 Cádiz;Grado de ocupación por plazas en fin de semana;2005M08;53,71
11 Cádiz;Grado de ocupación por plazas en fin de semana;2005M07;30,89
11 Cádiz;Grado de ocupación por plazas en fin de semana;2005M06;20,19
11 Cádiz;Grado de ocupación por plazas en fin de semana;2005M05;14,88
11 Cádiz;Grado de ocupación por plazas en fin de semana;2005M04;24,45
11 Cádiz;Grado de ocupación por plazas en fin de semana;2005M03;24,76
11 Cádiz;Grado de ocupación por plazas en fin de semana;2005M02;35,15
11 Cádiz;Grado de ocupación por plazas en fin de semana;2005M01;22,18
11 Cádiz;Grado de ocupación por habitaciones;2026M06;32,91
11 Cádiz;Grado de ocupación por habitaciones;2026M05;32,34
11 Cádiz;Grado de ocupación por habitaciones;2026M04;34,54
11 Cádiz;Grado de ocupación por habitaciones;2026M03;26,38
11 Cádiz;Grado de ocupación por habitaciones;2026M02;20,97
11 Cádiz;Grado de ocupación por habitaciones;2026M01;15,24
11 Cádiz;Grado de ocupación por habitaciones;2025M12;16,38
11 Cádiz;Grado de ocupación por habitaciones;2025M11;19,98
11 Cádiz;Grado de ocupación por habitaciones;2025M10;22,58
11 Cádiz;Grado de ocupación por habitaciones;2025M09;29,53
11 Cádiz;Grado de ocupación por habitaciones;2025M08;55,51
11 Cádiz;Grado de ocupación por habitaciones;2025M07;38,65
11 Cádiz;Grado de ocupación por habitaciones;2025M06;25,36
11 Cádiz;Grado de ocupación por habitaciones;2025M05;26,59
11 Cádiz;Grado de ocupación por habitaciones;2025M04;31,5
11 Cádiz;Grado de ocupación por habitaciones;2025M03;15,68
11 Cádiz;Grado de ocupación por habitaciones;2025M02;14,98
11 Cádiz;Grado de ocupación por habitaciones;2025M01;12,63
11 Cádiz;Grado de ocupación por habitaciones;2024M12;18,37
11 Cádiz;Grado de ocupación por habitaciones;2024M11;20,81
11 Cádiz;Grado de ocupación por habitaciones;2024M10;20,37
11 Cádiz;Grado de ocupación por habitaciones;2024M09;26,31
11 Cádiz;Grado de ocupación por habitaciones;2024M08;56,49
11 Cádiz;Grado de ocupación por habitaciones;2024M07;32,4
11 Cádiz;Grado de ocupación por habitaciones;2024M06;25,88
11 Cádiz;Grado de ocupación por habitaciones;2024M05;23,2
11 Cádiz;Grado de ocupación por habitaciones;2024M04;19,5
11 Cádiz;Grado de ocupación por habitaciones;2024M03;17,28
11 Cádiz;Grado de ocupación por habitaciones;2024M02;11,92
11 Cádiz;Grado de ocupación por habitaciones;2024M01;7,77
11 Cádiz;Grado de ocupación por habitaciones;2023M12;19,23
11 Cádiz;Grado de ocupación por habitaciones;2023M11;14,75
11 Cádiz;Grado de ocupación por habitaciones;2023M10;19,53
11 Cádiz;Grado de ocupación por habitaciones;2023M09;21,72
11 Cádiz;Grado de ocupación por habitaciones;2023M08;40,67
11 Cádiz;Grado de ocupación por habitaciones;2023M07;31,01
11 Cádiz;Grado de ocupación por habitaciones;2023M06;20,12
11 Cádiz;Grado de ocupación por habitaciones;2023M05;20,47
11 Cádiz;Grado de ocupación por habitaciones;2023M04;27,77
11 Cádiz;Grado de ocupación por habitaciones;2023M03;16,61
11 Cádiz;Grado de ocupación por habitaciones;2023M02;17,38
11 Cádiz;Grado de ocupación por habitaciones;2023M01;15,09
11 Cádiz;Grado de ocupación por habitaciones;2022M12;33,22
11 Cádiz;Grado de ocupación por habitaciones;2022M11;21,29
11 Cádiz;Grado de ocupación por habitaciones;2022M10;29,12
11 Cádiz;Grado de ocupación por habitaciones;2022M09;34,2
11 Cádiz;Grado de ocupación por habitaciones;2022M08;56,86
11 Cádiz;Grado de ocupación por habitaciones;2022M07;41,25
11 Cádiz;Grado de ocupación por habitaciones;2022M06;24,19
11 Cádiz;Grado de ocupación por habitaciones;2022M05;27,37
11 Cádiz;Grado de ocupación por habitaciones;2022M04;29,31
11 Cádiz;Grado de ocupación por habitaciones;2022M03;15,9
11 Cádiz;Grado de ocupación por habitaciones;2022M02;21,7
11 Cádiz;Grado de ocupación por habitaciones;2022M01;13,93
11 Cádiz;Grado de ocupación por habitaciones;2021M12;25,49
11 Cádiz;Grado de ocupación por habitaciones;2021M11;23,36
11 Cádiz;Grado de ocupación por habitaciones;2021M10;27,81
11 Cádiz;Grado de ocupación por habitaciones;2021M09;29,44
11 Cádiz;Grado de ocupación por habitaciones;2021M08;56,1
11 Cádiz;Grado de ocupación por habitaciones;2021M07;39,44
11 Cádiz;Grado de ocupación por habitaciones;2021M06;23,62
11 Cádiz;Grado de ocupación por habitaciones;2021M05;14,61
11 Cádiz;Grado de ocupación por habitaciones;2021M04;13,38
11 Cádiz;Grado de ocupación por habitaciones;2021M03;13,95
11 Cádiz;Grado de ocupación por habitaciones;2021M02;6,66
11 Cádiz;Grado de ocupación por habitaciones;2021M01;5,82
11 Cádiz;Grado de ocupación por habitaciones;2020M12;11,23
11 Cádiz;Grado de ocupación por habitaciones;2020M11;.
11 Cádiz;Grado de ocupación por habitaciones;2020M10;21,66
11 Cádiz;Grado de ocupación por habitaciones;2020M09;28,78
11 Cádiz;Grado de ocupación por habitaciones;2020M08;62,28
11 Cádiz;Grado de ocupación por habitaciones;2020M07;43,37
11 Cádiz;Grado de ocupación por habitaciones;2020M06;13,96
11 Cádiz;Grado de ocupación por habitaciones;2020M05;.
11 Cádiz;Grado de ocupación por habitaciones;2020M04;.
11 Cádiz;Grado de ocupación por habitaciones;2020M03;4,77
11 Cádiz;Grado de ocupación por habitaciones;2020M02;20,13
11 Cádiz;Grado de ocupación por habitaciones;2020M01;17
11 Cádiz;Grado de ocupación por habitaciones;2019M12;25,92
11 Cádiz;Grado de ocupación por habitaciones;2019M11;22,22
11 Cádiz;Grado de ocupación por habitaciones;2019M10;23,75
11 Cádiz;Grado de ocupación por habitaciones;2019M09;28,21
11 Cádiz;Grado de ocupación por habitaciones;2019M08;47,66
11 Cádiz;Grado de ocupación por habitaciones;2019M07;41,94
11 Cádiz;Grado de ocupación por habitaciones;2019M06;29,38
11 Cádiz;Grado de ocupación por habitaciones;2019M05;26,19
11 Cádiz;Grado de ocupación por habitaciones;2019M04;30,79
11 Cádiz;Grado de ocupación por habitaciones;2019M03;19,35
11 Cádiz;Grado de ocupación por habitaciones;2019M02;17,2
11 Cádiz;Grado de ocupación por habitaciones;2019M01;11,81
11 Cádiz;Grado de ocupación por habitaciones;2018M12;25,52
11 Cádiz;Grado de ocupación por habitaciones;2018M11;21,54
11 Cádiz;Grado de ocupación por habitaciones;2018M10;27
11 Cádiz;Grado de ocupación por habitaciones;2018M09;26,95
11 Cádiz;Grado de ocupación por habitaciones;2018M08;54,2
11 Cádiz;Grado de ocupación por habitaciones;2018M07;38,29
11 Cádiz;Grado de ocupación por habitaciones;2018M06;29,59
11 Cádiz;Grado de ocupación por habitaciones;2018M05;24,71
11 Cádiz;Grado de ocupación por habitaciones;2018M04;21,31
11 Cádiz;Grado de ocupación por habitaciones;2018M03;22,27
11 Cádiz;Grado de ocupación por habitaciones;2018M02;16,79
11 Cádiz;Grado de ocupación por habitaciones;2018M01;14,85
11 Cádiz;Grado de ocupación por habitaciones;2017M12;36,94
11 Cádiz;Grado de ocupación por habitaciones;2017M11;25,6
11 Cádiz;Grado de ocupación por habitaciones;2017M10;34,09
11 Cádiz;Grado de ocupación por habitaciones;2017M09;35,1
11 Cádiz;Grado de ocupación por habitaciones;2017M08;57,5
11 Cádiz;Grado de ocupación por habitaciones;2017M07;47,5
11 Cádiz;Grado de ocupación por habitaciones;2017M06;35,73
11 Cádiz;Grado de ocupación por habitaciones;2017M05;29,64
11 Cádiz;Grado de ocupación por habitaciones;2017M04;33,36
11 Cádiz;Grado de ocupación por habitaciones;2017M03;20,3
11 Cádiz;Grado de ocupación por habitaciones;2017M02;20,67
11 Cádiz;Grado de ocupación por habitaciones;2017M01;12,44
11 Cádiz;Grado de ocupación por habitaciones;2016M12;24,75
11 Cádiz;Grado de ocupación por habitaciones;2016M11;24,54
11 Cádiz;Grado de ocupación por habitaciones;2016M10;32,39
11 Cádiz;Grado de ocupación por habitaciones;2016M09;39,04
11 Cádiz;Grado de ocupación por habitaciones;2016M08;65,28
11 Cádiz;Grado de ocupación por habitaciones;2016M07;40,96
11 Cádiz;Grado de ocupación por habitaciones;2016M06;31,16
11 Cádiz;Grado de ocupación por habitaciones;2016M05;26,6
11 Cádiz;Grado de ocupación por habitaciones;2016M04;31,39
11 Cádiz;Grado de ocupación por habitaciones;2016M03;24,76
11 Cádiz;Grado de ocupación por habitaciones;2016M02;18,98
11 Cádiz;Grado de ocupación por habitaciones;2016M01;21,57
11 Cádiz;Grado de ocupación por habitaciones;2015M12;22,5
11 Cádiz;Grado de ocupación por habitaciones;2015M11;19,58
11 Cádiz;Grado de ocupación por habitaciones;2015M10;32,16
11 Cádiz;Grado de ocupación por habitaciones;2015M09;31,77
11 Cádiz;Grado de ocupación por habitaciones;2015M08;59,81
11 Cádiz;Grado de ocupación por habitaciones;2015M07;34,58
11 Cádiz;Grado de ocupación por habitaciones;2015M06;25,62
11 Cádiz;Grado de ocupación por habitaciones;2015M05;27,5
11 Cádiz;Grado de ocupación por habitaciones;2015M04;28,79
11 Cádiz;Grado de ocupación por habitaciones;2015M03;19,22
11 Cádiz;Grado de ocupación por habitaciones;2015M02;21,11
11 Cádiz;Grado de ocupación por habitaciones;2015M01;15,93
11 Cádiz;Grado de ocupación por habitaciones;2014M12;18,49
11 Cádiz;Grado de ocupación por habitaciones;2014M11;22,67
11 Cádiz;Grado de ocupación por habitaciones;2014M10;26,6
11 Cádiz;Grado de ocupación por habitaciones;2014M09;37,1
11 Cádiz;Grado de ocupación por habitaciones;2014M08;48,14
11 Cádiz;Grado de ocupación por habitaciones;2014M07;38,01
11 Cádiz;Grado de ocupación por habitaciones;2014M06;28,86
11 Cádiz;Grado de ocupación por habitaciones;2014M05;26,3
11 Cádiz;Grado de ocupación por habitaciones;2014M04;27,27
11 Cádiz;Grado de ocupación por habitaciones;2014M03;23,27
11 Cádiz;Grado de ocupación por habitaciones;2014M02;20,04
11 Cádiz;Grado de ocupación por habitaciones;2014M01;11,69
11 Cádiz;Grado de ocupación por habitaciones;2013M12;24,42
11 Cádiz;Grado de ocupación por habitaciones;2013M11;17,45
11 Cádiz;Grado de ocupación por habitaciones;2013M10;20,59
11 Cádiz;Grado de ocupación por habitaciones;2013M09;30,78
11 Cádiz;Grado de ocupación por habitaciones;2013M08;53,07
11 Cádiz;Grado de ocupación por habitaciones;2013M07;42,41
11 Cádiz;Grado de ocupación por habitaciones;2013M06;21,77
11 Cádiz;Grado de ocupación por habitaciones;2013M05;24,09
11 Cádiz;Grado de ocupación por habitaciones;2013M04;16,82
11 Cádiz;Grado de ocupación por habitaciones;2013M03;21,09
11 Cádiz;Grado de ocupación por habitaciones;2013M02;14,33
11 Cádiz;Grado de ocupación por habitaciones;2013M01;6,65
11 Cádiz;Grado de ocupación por habitaciones;2012M12;19,75
11 Cádiz;Grado de ocupación por habitaciones;2012M11;10,06
11 Cádiz;Grado de ocupación por habitaciones;2012M10;19,04
11 Cádiz;Grado de ocupación por habitaciones;2012M09;29,12
11 Cádiz;Grado de ocupación por habitaciones;2012M08;51,1
11 Cádiz;Grado de ocupación por habitaciones;2012M07;32,68
11 Cádiz;Grado de ocupación por habitaciones;2012M06;21,33
11 Cádiz;Grado de ocupación por habitaciones;2012M05;19,66
11 Cádiz;Grado de ocupación por habitaciones;2012M04;22,24
11 Cádiz;Grado de ocupación por habitaciones;2012M03;16,32
11 Cádiz;Grado de ocupación por habitaciones;2012M02;15,92
11 Cádiz;Grado de ocupación por habitaciones;2012M01;5,72
11 Cádiz;Grado de ocupación por habitaciones;2011M12;14,92
11 Cádiz;Grado de ocupación por habitaciones;2011M11;18,38
11 Cádiz;Grado de ocupación por habitaciones;2011M10;18,44
11 Cádiz;Grado de ocupación por habitaciones;2011M09;25,21
11 Cádiz;Grado de ocupación por habitaciones;2011M08;46,76
11 Cádiz;Grado de ocupación por habitaciones;2011M07;31,21
11 Cádiz;Grado de ocupación por habitaciones;2011M06;21,14
11 Cádiz;Grado de ocupación por habitaciones;2011M05;15,43
11 Cádiz;Grado de ocupación por habitaciones;2011M04;21,19
11 Cádiz;Grado de ocupación por habitaciones;2011M03;11,51
11 Cádiz;Grado de ocupación por habitaciones;2011M02;17,57
11 Cádiz;Grado de ocupación por habitaciones;2011M01;11,37
11 Cádiz;Grado de ocupación por habitaciones;2010M12;18,48
11 Cádiz;Grado de ocupación por habitaciones;2010M11;15,04
11 Cádiz;Grado de ocupación por habitaciones;2010M10;17,13
11 Cádiz;Grado de ocupación por habitaciones;2010M09;16,22
11 Cádiz;Grado de ocupación por habitaciones;2010M08;42,51
11 Cádiz;Grado de ocupación por habitaciones;2010M07;25,8
11 Cádiz;Grado de ocupación por habitaciones;2010M06;14,78
11 Cádiz;Grado de ocupación por habitaciones;2010M05;10,32
11 Cádiz;Grado de ocupación por habitaciones;2010M04;17,33
11 Cádiz;Grado de ocupación por habitaciones;2010M03;13,65
11 Cádiz;Grado de ocupación por habitaciones;2010M02;12,28
11 Cádiz;Grado de ocupación por habitaciones;2010M01;12,54
11 Cádiz;Grado de ocupación por habitaciones;2009M12;14,61
11 Cádiz;Grado de ocupación por habitaciones;2009M11;11,77
11 Cádiz;Grado de ocupación por habitaciones;2009M10;21,77
11 Cádiz;Grado de ocupación por habitaciones;2009M09;18,22
11 Cádiz;Grado de ocupación por habitaciones;2009M08;50,31
11 Cádiz;Grado de ocupación por habitaciones;2009M07;30,8
11 Cádiz;Grado de ocupación por habitaciones;2009M06;17,4
11 Cádiz;Grado de ocupación por habitaciones;2009M05;21,33
11 Cádiz;Grado de ocupación por habitaciones;2009M04;18,42
11 Cádiz;Grado de ocupación por habitaciones;2009M03;12,75
11 Cádiz;Grado de ocupación por habitaciones;2009M02;11,88
11 Cádiz;Grado de ocupación por habitaciones;2009M01;6,18
11 Cádiz;Grado de ocupación por habitaciones;2008M12;15,08
11 Cádiz;Grado de ocupación por habitaciones;2008M11;10,99
11 Cádiz;Grado de ocupación por habitaciones;2008M10;15,36
11 Cádiz;Grado de ocupación por habitaciones;2008M09;21,58
11 Cádiz;Grado de ocupación por habitaciones;2008M08;43,66
11 Cádiz;Grado de ocupación por habitaciones;2008M07;29,51
11 Cádiz;Grado de ocupación por habitaciones;2008M06;23,91
11 Cádiz;Grado de ocupación por habitaciones;2008M05;15,8
11 Cádiz;Grado de ocupación por habitaciones;2008M04;14,68
11 Cádiz;Grado de ocupación por habitaciones;2008M03;24,62
11 Cádiz;Grado de ocupación por habitaciones;2008M02;13,38
11 Cádiz;Grado de ocupación por habitaciones;2008M01;10,42
11 Cádiz;Grado de ocupación por habitaciones;2007M12;19,37
11 Cádiz;Grado de ocupación por habitaciones;2007M11;17,28
11 Cádiz;Grado de ocupación por habitaciones;2007M10;23
11 Cádiz;Grado de ocupación por habitaciones;2007M09;30,32
11 Cádiz;Grado de ocupación por habitaciones;2007M08;54,35
11 Cádiz;Grado de ocupación por habitaciones;2007M07;30,51
11 Cádiz;Grado de ocupación por habitaciones;2007M06;15,2
11 Cádiz;Grado de ocupación por habitaciones;2007M05;12,93
11 Cádiz;Grado de ocupación por habitaciones;2007M04;29,37
11 Cádiz;Grado de ocupación por habitaciones;2007M03;19,46
11 Cádiz;Grado de ocupación por habitaciones;2007M02;23,38
11 Cádiz;Grado de ocupación por habitaciones;2007M01;8,47
11 Cádiz;Grado de ocupación por habitaciones;2006M12;""
11 Cádiz;Grado de ocupación por habitaciones;2006M11;""
11 Cádiz;Grado de ocupación por habitaciones;2006M10;""
11 Cádiz;Grado de ocupación por habitaciones;2006M09;""
11 Cádiz;Grado de ocupación por habitaciones;2006M08;""
11 Cádiz;Grado de ocupación por habitaciones;2006M07;""
11 Cádiz;Grado de ocupación por habitaciones;2006M06;""
11 Cádiz;Grado de ocupación por habitaciones;2006M05;""
11 Cádiz;Grado de ocupación por habitaciones;2006M04;""
11 Cádiz;Grado de ocupación por habitaciones;2006M03;""
11 Cádiz;Grado de ocupación por habitaciones;2006M02;""
11 Cádiz;Grado de ocupación por habitaciones;2006M01;""
11 Cádiz;Grado de ocupación por habitaciones;2005M12;""
11 Cádiz;Grado de ocupación por habitaciones;2005M11;""
11 Cádiz;Grado de ocupación por habitaciones;2005M10;""
11 Cádiz;Grado de ocupación por habitaciones;2005M09;""
11 Cádiz;Grado de ocupación por habitaciones;2005M08;""
11 Cádiz;Grado de ocupación por habitaciones;2005M07;""
11 Cádiz;Grado de ocupación por habitaciones;2005M06;""
11 Cádiz;Grado de ocupación por habitaciones;2005M05;""
11 Cádiz;Grado de ocupación por habitaciones;2005M04;""
11 Cádiz;Grado de ocupación por habitaciones;2005M03;""
11 Cádiz;Grado de ocupación por habitaciones;2005M02;""
11 Cádiz;Grado de ocupación por habitaciones;2005M01;""
11 Cádiz;Personal empleado;2026M06;232
11 Cádiz;Personal empleado;2026M05;243
11 Cádiz;Personal empleado;2026M04;252
11 Cádiz;Personal empleado;2026M03;254
11 Cádiz;Personal empleado;2026M02;240
11 Cádiz;Personal empleado;2026M01;225
11 Cádiz;Personal empleado;2025M12;189
11 Cádiz;Personal empleado;2025M11;189
11 Cádiz;Personal empleado;2025M10;179
11 Cádiz;Personal empleado;2025M09;202
11 Cádiz;Personal empleado;2025M08;200
11 Cádiz;Personal empleado;2025M07;171
11 Cádiz;Personal empleado;2025M06;194
11 Cádiz;Personal empleado;2025M05;187
11 Cádiz;Personal empleado;2025M04;181
11 Cádiz;Personal empleado;2025M03;185
11 Cádiz;Personal empleado;2025M02;173
11 Cádiz;Personal empleado;2025M01;166
11 Cádiz;Personal empleado;2024M12;119
11 Cádiz;Personal empleado;2024M11;148
11 Cádiz;Personal empleado;2024M10;184
11 Cádiz;Personal empleado;2024M09;190
11 Cádiz;Personal empleado;2024M08;159
11 Cádiz;Personal empleado;2024M07;161
11 Cádiz;Personal empleado;2024M06;197
11 Cádiz;Personal empleado;2024M05;219
11 Cádiz;Personal empleado;2024M04;198
11 Cádiz;Personal empleado;2024M03;183
11 Cádiz;Personal empleado;2024M02;181
11 Cádiz;Personal empleado;2024M01;140
11 Cádiz;Personal empleado;2023M12;155
11 Cádiz;Personal empleado;2023M11;166
11 Cádiz;Personal empleado;2023M10;151
11 Cádiz;Personal empleado;2023M09;170
11 Cádiz;Personal empleado;2023M08;166
11 Cádiz;Personal empleado;2023M07;159
11 Cádiz;Personal empleado;2023M06;155
11 Cádiz;Personal empleado;2023M05;151
11 Cádiz;Personal empleado;2023M04;146
11 Cádiz;Personal empleado;2023M03;144
11 Cádiz;Personal empleado;2023M02;126
11 Cádiz;Personal empleado;2023M01;103
11 Cádiz;Personal empleado;2022M12;140
11 Cádiz;Personal empleado;2022M11;144
11 Cádiz;Personal empleado;2022M10;166
11 Cádiz;Personal empleado;2022M09;171
11 Cádiz;Personal empleado;2022M08;173
11 Cádiz;Personal empleado;2022M07;181
11 Cádiz;Personal empleado;2022M06;176
11 Cádiz;Personal empleado;2022M05;166
11 Cádiz;Personal empleado;2022M04;169
11 Cádiz;Personal empleado;2022M03;172
11 Cádiz;Personal empleado;2022M02;150
11 Cádiz;Personal empleado;2022M01;131
11 Cádiz;Personal empleado;2021M12;142
11 Cádiz;Personal empleado;2021M11;131
11 Cádiz;Personal empleado;2021M10;137
11 Cádiz;Personal empleado;2021M09;159
11 Cádiz;Personal empleado;2021M08;159
11 Cádiz;Personal empleado;2021M07;165
11 Cádiz;Personal empleado;2021M06;157
11 Cádiz;Personal empleado;2021M05;155
11 Cádiz;Personal empleado;2021M04;124
11 Cádiz;Personal empleado;2021M03;114
11 Cádiz;Personal empleado;2021M02;86
11 Cádiz;Personal empleado;2021M01;79
11 Cádiz;Personal empleado;2020M12;104
11 Cádiz;Personal empleado;2020M11;.
11 Cádiz;Personal empleado;2020M10;131
11 Cádiz;Personal empleado;2020M09;173
11 Cádiz;Personal empleado;2020M08;174
11 Cádiz;Personal empleado;2020M07;151
11 Cádiz;Personal empleado;2020M06;106
11 Cádiz;Personal empleado;2020M05;.
11 Cádiz;Personal empleado;2020M04;.
11 Cádiz;Personal empleado;2020M03;143
11 Cádiz;Personal empleado;2020M02;213
11 Cádiz;Personal empleado;2020M01;129
11 Cádiz;Personal empleado;2019M12;153
11 Cádiz;Personal empleado;2019M11;170
11 Cádiz;Personal empleado;2019M10;197
11 Cádiz;Personal empleado;2019M09;207
11 Cádiz;Personal empleado;2019M08;231
11 Cádiz;Personal empleado;2019M07;213
11 Cádiz;Personal empleado;2019M06;221
11 Cádiz;Personal empleado;2019M05;207
11 Cádiz;Personal empleado;2019M04;222
11 Cádiz;Personal empleado;2019M03;185
11 Cádiz;Personal empleado;2019M02;144
11 Cádiz;Personal empleado;2019M01;123
11 Cádiz;Personal empleado;2018M12;161
11 Cádiz;Personal empleado;2018M11;154
11 Cádiz;Personal empleado;2018M10;163
11 Cádiz;Personal empleado;2018M09;185
11 Cádiz;Personal empleado;2018M08;213
11 Cádiz;Personal empleado;2018M07;213
11 Cádiz;Personal empleado;2018M06;212
11 Cádiz;Personal empleado;2018M05;250
11 Cádiz;Personal empleado;2018M04;209
11 Cádiz;Personal empleado;2018M03;226
11 Cádiz;Personal empleado;2018M02;164
11 Cádiz;Personal empleado;2018M01;152
11 Cádiz;Personal empleado;2017M12;145
11 Cádiz;Personal empleado;2017M11;137
11 Cádiz;Personal empleado;2017M10;167
11 Cádiz;Personal empleado;2017M09;185
11 Cádiz;Personal empleado;2017M08;206
11 Cádiz;Personal empleado;2017M07;197
11 Cádiz;Personal empleado;2017M06;175
11 Cádiz;Personal empleado;2017M05;159
11 Cádiz;Personal empleado;2017M04;156
11 Cádiz;Personal empleado;2017M03;154
11 Cádiz;Personal empleado;2017M02;150
11 Cádiz;Personal empleado;2017M01;135
11 Cádiz;Personal empleado;2016M12;128
11 Cádiz;Personal empleado;2016M11;105
11 Cádiz;Personal empleado;2016M10;117
11 Cádiz;Personal empleado;2016M09;126
11 Cádiz;Personal empleado;2016M08;121
11 Cádiz;Personal empleado;2016M07;111
11 Cádiz;Personal empleado;2016M06;122
11 Cádiz;Personal empleado;2016M05;129
11 Cádiz;Personal empleado;2016M04;112
11 Cádiz;Personal empleado;2016M03;117
11 Cádiz;Personal empleado;2016M02;107
11 Cádiz;Personal empleado;2016M01;100
11 Cádiz;Personal empleado;2015M12;152
11 Cádiz;Personal empleado;2015M11;157
11 Cádiz;Personal empleado;2015M10;151
11 Cádiz;Personal empleado;2015M09;171
11 Cádiz;Personal empleado;2015M08;176
11 Cádiz;Personal empleado;2015M07;183
11 Cádiz;Personal empleado;2015M06;181
11 Cádiz;Personal empleado;2015M05;183
11 Cádiz;Personal empleado;2015M04;176
11 Cádiz;Personal empleado;2015M03;151
11 Cádiz;Personal empleado;2015M02;158
11 Cádiz;Personal empleado;2015M01;152
11 Cádiz;Personal empleado;2014M12;162
11 Cádiz;Personal empleado;2014M11;165
11 Cádiz;Personal empleado;2014M10;175
11 Cádiz;Personal empleado;2014M09;183
11 Cádiz;Personal empleado;2014M08;188
11 Cádiz;Personal empleado;2014M07;189
11 Cádiz;Personal empleado;2014M06;175
11 Cádiz;Personal empleado;2014M05;181
11 Cádiz;Personal empleado;2014M04;190
11 Cádiz;Personal empleado;2014M03;171
11 Cádiz;Personal empleado;2014M02;151
11 Cádiz;Personal empleado;2014M01;123
11 Cádiz;Personal empleado;2013M12;150
11 Cádiz;Personal empleado;2013M11;152
11 Cádiz;Personal empleado;2013M10;173
11 Cádiz;Personal empleado;2013M09;187
11 Cádiz;Personal empleado;2013M08;190
11 Cádiz;Personal empleado;2013M07;177
11 Cádiz;Personal empleado;2013M06;158
11 Cádiz;Personal empleado;2013M05;149
11 Cádiz;Personal empleado;2013M04;153
11 Cádiz;Personal empleado;2013M03;147
11 Cádiz;Personal empleado;2013M02;131
11 Cádiz;Personal empleado;2013M01;110
11 Cádiz;Personal empleado;2012M12;136
11 Cádiz;Personal empleado;2012M11;142
11 Cádiz;Personal empleado;2012M10;164
11 Cádiz;Personal empleado;2012M09;184
11 Cádiz;Personal empleado;2012M08;172
11 Cádiz;Personal empleado;2012M07;179
11 Cádiz;Personal empleado;2012M06;183
11 Cádiz;Personal empleado;2012M05;181
11 Cádiz;Personal empleado;2012M04;170
11 Cádiz;Personal empleado;2012M03;156
11 Cádiz;Personal empleado;2012M02;151
11 Cádiz;Personal empleado;2012M01;135
11 Cádiz;Personal empleado;2011M12;132
11 Cádiz;Personal empleado;2011M11;129
11 Cádiz;Personal empleado;2011M10;168
11 Cádiz;Personal empleado;2011M09;183
11 Cádiz;Personal empleado;2011M08;184
11 Cádiz;Personal empleado;2011M07;162
