Provincias con mayor número de pernoctaciones;Establecimientos y personal empleado (plazas);Periodo;Total
02 Albacete;Número de establecimientos abiertos estimados;2018M11;706
02 Albacete;Número de establecimientos abiertos estimados;2018M10;715
02 Albacete;Número de establecimientos abiertos estimados;2018M09;679
02 Albacete;Número de establecimientos abiertos estimados;2018M08;687
02 Albacete;Número de establecimientos abiertos estimados;2018M07;699
02 Albacete;Número de establecimientos abiertos estimados;2018M06;704
02 Albacete;Número de establecimientos abiertos estimados;2018M05;709
02 Albacete;Número de establecimientos abiertos estimados;2018M04;711
02 Albacete;Número de establecimientos abiertos estimados;2018M03;670
02 Albacete;Número de establecimientos abiertos estimados;2018M02;612
02 Albacete;Número de establecimientos abiertos estimados;2018M01;620
02 Albacete;Número de establecimientos abiertos estimados;2017M12;634
02 Albacete;Número de establecimientos abiertos estimados;2017M11;638
02 Albacete;Número de establecimientos abiertos estimados;2017M10;632
02 Albacete;Número de establecimientos abiertos estimados;2017M09;635
02 Albacete;Número de establecimientos abiertos estimados;2017M08;648
02 Albacete;Número de establecimientos abiertos estimados;2017M07;662
02 Albacete;Número de establecimientos abiertos estimados;2017M06;655
02 Albacete;Número de establecimientos abiertos estimados;2017M05;669
02 Albacete;Número de establecimientos abiertos estimados;2017M04;664
02 Albacete;Número de establecimientos abiertos estimados;2017M03;663
02 Albacete;Número de establecimientos abiertos estimados;2017M02;667
02 Albacete;Número de establecimientos abiertos estimados;2017M01;650
02 Albacete;Número de establecimientos abiertos estimados;2016M12;640
02 Albacete;Número de establecimientos abiertos estimados;2016M11;641
02 Albacete;Número de establecimientos abiertos estimados;2016M10;629
02 Albacete;Número de establecimientos abiertos estimados;2016M09;598
02 Albacete;Número de establecimientos abiertos estimados;2016M08;619
02 Albacete;Número de establecimientos abiertos estimados;2016M07;595
02 Albacete;Número de establecimientos abiertos estimados;2016M06;601
02 Albacete;Número de establecimientos abiertos estimados;2016M05;611
02 Albacete;Número de establecimientos abiertos estimados;2016M04;611
02 Albacete;Número de establecimientos abiertos estimados;2016M03;616
02 Albacete;Número de establecimientos abiertos estimados;2016M02;582
02 Albacete;Número de establecimientos abiertos estimados;2016M01;594
02 Albacete;Número de establecimientos abiertos estimados;2015M12;619
02 Albacete;Número de establecimientos abiertos estimados;2015M11;619
02 Albacete;Número de establecimientos abiertos estimados;2015M10;593
02 Albacete;Número de establecimientos abiertos estimados;2015M09;593
02 Albacete;Número de establecimientos abiertos estimados;2015M08;573
02 Albacete;Número de establecimientos abiertos estimados;2015M07;599
02 Albacete;Número de establecimientos abiertos estimados;2015M06;574
02 Albacete;Número de establecimientos abiertos estimados;2015M05;589
02 Albacete;Número de establecimientos abiertos estimados;2015M04;596
02 Albacete;Número de establecimientos abiertos estimados;2015M03;584
02 Albacete;Número de establecimientos abiertos estimados;2015M02;572
02 Albacete;Número de establecimientos abiertos estimados;2015M01;561
02 Albacete;Número de establecimientos abiertos estimados;2014M12;570
02 Albacete;Número de establecimientos abiertos estimados;2014M11;570
02 Albacete;Número de establecimientos abiertos estimados;2014M10;587
02 Albacete;Número de establecimientos abiertos estimados;2014M09;593
02 Albacete;Número de establecimientos abiertos estimados;2014M08;597
02 Albacete;Número de establecimientos abiertos estimados;2014M07;610
02 Albacete;Número de establecimientos abiertos estimados;2014M06;601
02 Albacete;Número de establecimientos abiertos estimados;2014M05;601
02 Albacete;Número de establecimientos abiertos estimados;2014M04;588
02 Albacete;Número de establecimientos abiertos estimados;2014M03;576
02 Albacete;Número de establecimientos abiertos estimados;2014M02;597
02 Albacete;Número de establecimientos abiertos estimados;2014M01;592
02 Albacete;Número de establecimientos abiertos estimados;2013M12;559
02 Albacete;Número de establecimientos abiertos estimados;2013M11;577
02 Albacete;Número de establecimientos abiertos estimados;2013M10;566
02 Albacete;Número de establecimientos abiertos estimados;2013M09;570
02 Albacete;Número de establecimientos abiertos estimados;2013M08;566
02 Albacete;Número de establecimientos abiertos estimados;2013M07;578
02 Albacete;Número de establecimientos abiertos estimados;2013M06;586
02 Albacete;Número de establecimientos abiertos estimados;2013M05;575
02 Albacete;Número de establecimientos abiertos estimados;2013M04;585
02 Albacete;Número de establecimientos abiertos estimados;2013M03;585
02 Albacete;Número de establecimientos abiertos estimados;2013M02;596
02 Albacete;Número de establecimientos abiertos estimados;2013M01;578
02 Albacete;Número de establecimientos abiertos estimados;2012M12;653
02 Albacete;Número de establecimientos abiertos estimados;2012M11;661
02 Albacete;Número de establecimientos abiertos estimados;2012M10;662
02 Albacete;Número de establecimientos abiertos estimados;2012M09;632
02 Albacete;Número de establecimientos abiertos estimados;2012M08;673
02 Albacete;Número de establecimientos abiertos estimados;2012M07;651
02 Albacete;Número de establecimientos abiertos estimados;2012M06;656
02 Albacete;Número de establecimientos abiertos estimados;2012M05;645
02 Albacete;Número de establecimientos abiertos estimados;2012M04;643
02 Albacete;Número de establecimientos abiertos estimados;2012M03;628
02 Albacete;Número de establecimientos abiertos estimados;2012M02;601
02 Albacete;Número de establecimientos abiertos estimados;2012M01;575
02 Albacete;Número de establecimientos abiertos estimados;2011M12;620
02 Albacete;Número de establecimientos abiertos estimados;2011M11;627
02 Albacete;Número de establecimientos abiertos estimados;2011M10;633
02 Albacete;Número de establecimientos abiertos estimados;2011M09;613
02 Albacete;Número de establecimientos abiertos estimados;2011M08;615
02 Albacete;Número de establecimientos abiertos estimados;2011M07;606
02 Albacete;Número de establecimientos abiertos estimados;2011M06;620
02 Albacete;Número de establecimientos abiertos estimados;2011M05;565
02 Albacete;Número de establecimientos abiertos estimados;2011M04;558
02 Albacete;Número de establecimientos abiertos estimados;2011M03;551
02 Albacete;Número de establecimientos abiertos estimados;2011M02;540
02 Albacete;Número de establecimientos abiertos estimados;2011M01;543
02 Albacete;Número de establecimientos abiertos estimados;2010M12;537
02 Albacete;Número de establecimientos abiertos estimados;2010M11;549
02 Albacete;Número de establecimientos abiertos estimados;2010M10;546
02 Albacete;Número de establecimientos abiertos estimados;2010M09;547
02 Albacete;Número de establecimientos abiertos estimados;2010M08;548
02 Albacete;Número de establecimientos abiertos estimados;2010M07;541
02 Albacete;Número de establecimientos abiertos estimados;2010M06;541
02 Albacete;Número de establecimientos abiertos estimados;2010M05;547
02 Albacete;Número de establecimientos abiertos estimados;2010M04;554
02 Albacete;Número de establecimientos abiertos estimados;2010M03;530
02 Albacete;Número de establecimientos abiertos estimados;2010M02;512
02 Albacete;Número de establecimientos abiertos estimados;2010M01;500
02 Albacete;Número de establecimientos abiertos estimados;2009M12;510
02 Albacete;Número de establecimientos abiertos estimados;2009M11;515
02 Albacete;Número de establecimientos abiertos estimados;2009M10;517
02 Albacete;Número de establecimientos abiertos estimados;2009M09;519
02 Albacete;Número de establecimientos abiertos estimados;2009M08;510
02 Albacete;Número de establecimientos abiertos estimados;2009M07;525
02 Albacete;Número de establecimientos abiertos estimados;2009M06;514
02 Albacete;Número de establecimientos abiertos estimados;2009M05;534
02 Albacete;Número de establecimientos abiertos estimados;2009M04;524
02 Albacete;Número de establecimientos abiertos estimados;2009M03;528
02 Albacete;Número de establecimientos abiertos estimados;2009M02;534
02 Albacete;Número de establecimientos abiertos estimados;2009M01;482
02 Albacete;Número de establecimientos abiertos estimados;2008M12;480
02 Albacete;Número de establecimientos abiertos estimados;2008M11;474
02 Albacete;Número de establecimientos abiertos estimados;2008M10;485
02 Albacete;Número de establecimientos abiertos estimados;2008M09;478
02 Albacete;Número de establecimientos abiertos estimados;2008M08;487
02 Albacete;Número de establecimientos abiertos estimados;2008M07;450
02 Albacete;Número de establecimientos abiertos estimados;2008M06;451
02 Albacete;Número de establecimientos abiertos estimados;2008M05;451
02 Albacete;Número de establecimientos abiertos estimados;2008M04;450
02 Albacete;Número de establecimientos abiertos estimados;2008M03;433
02 Albacete;Número de establecimientos abiertos estimados;2008M02;403
02 Albacete;Número de establecimientos abiertos estimados;2008M01;403
02 Albacete;Número de establecimientos abiertos estimados;2007M12;416
02 Albacete;Número de establecimientos abiertos estimados;2007M11;401
02 Albacete;Número de establecimientos abiertos estimados;2007M10;399
02 Albacete;Número de establecimientos abiertos estimados;2007M09;393
02 Albacete;Número de establecimientos abiertos estimados;2007M08;398
