Provincias con mayor número de pernoctaciones;Viajeros y pernoctaciones;Residencia;Periodo;Total
02 Albacete;Viajero;Residentes en España;2018M04;6.224
02 Albacete;Viajero;Residentes en España;2018M03;6.818
02 Albacete;Viajero;Residentes en España;2018M02;3.741
02 Albacete;Viajero;Residentes en España;2018M01;2.954
02 Albacete;Viajero;Residentes en España;2017M12;7.891
02 Albacete;Viajero;Residentes en España;2017M11;4.773
02 Albacete;Viajero;Residentes en España;2017M10;5.404
02 Albacete;Viajero;Residentes en España;2017M09;5.159
02 Albacete;Viajero;Residentes en España;2017M08;9.064
02 Albacete;Viajero;Residentes en España;2017M07;7.506
02 Albacete;Viajero;Residentes en España;2017M06;5.742
02 Albacete;Viajero;Residentes en España;2017M05;4.150
02 Albacete;Viajero;Residentes en España;2017M04;7.743
02 Albacete;Viajero;Residentes en España;2017M03;5.047
02 Albacete;Viajero;Residentes en España;2017M02;4.717
02 Albacete;Viajero;Residentes en España;2017M01;3.059
02 Albacete;Viajero;Residentes en España;2016M12;7.146
02 Albacete;Viajero;Residentes en España;2016M11;5.073
02 Albacete;Viajero;Residentes en España;2016M10;5.560
02 Albacete;Viajero;Residentes en España;2016M09;5.009
02 Albacete;Viajero;Residentes en España;2016M08;9.491
02 Albacete;Viajero;Residentes en España;2016M07;6.766
02 Albacete;Viajero;Residentes en España;2016M06;4.686
02 Albacete;Viajero;Residentes en España;2016M05;3.325
02 Albacete;Viajero;Residentes en España;2016M04;4.417
02 Albacete;Viajero;Residentes en España;2016M03;5.008
02 Albacete;Viajero;Residentes en España;2016M02;4.062
02 Albacete;Viajero;Residentes en España;2016M01;3.206
02 Albacete;Viajero;Residentes en España;2015M12;7.497
02 Albacete;Viajero;Residentes en España;2015M11;3.491
02 Albacete;Viajero;Residentes en España;2015M10;5.711
02 Albacete;Viajero;Residentes en España;2015M09;3.728
02 Albacete;Viajero;Residentes en España;2015M08;7.372
02 Albacete;Viajero;Residentes en España;2015M07;5.948
02 Albacete;Viajero;Residentes en España;2015M06;4.029
02 Albacete;Viajero;Residentes en España;2015M05;3.272
02 Albacete;Viajero;Residentes en España;2015M04;5.178
02 Albacete;Viajero;Residentes en España;2015M03;3.062
02 Albacete;Viajero;Residentes en España;2015M02;2.784
02 Albacete;Viajero;Residentes en España;2015M01;2.280
02 Albacete;Viajero;Residentes en España;2014M12;6.445
02 Albacete;Viajero;Residentes en España;2014M11;4.331
02 Albacete;Viajero;Residentes en España;2014M10;4.473
02 Albacete;Viajero;Residentes en España;2014M09;2.451
02 Albacete;Viajero;Residentes en España;2014M08;6.692
