Provincias con mayor número de pernoctaciones;Viajeros y pernoctaciones;Residencia;Periodo;Total
39 Cantabria;Viajero;Residentes en España;2005M10;9.043
39 Cantabria;Viajero;Residentes en España;2005M09;14.027
39 Cantabria;Viajero;Residentes en España;2005M08;32.664
39 Cantabria;Viajero;Residentes en España;2005M07;24.714
39 Cantabria;Viajero;Residentes en España;2005M06;10.347
39 Cantabria;Viajero;Residentes en España;2005M05;9.146
39 Cantabria;Viajero;Residentes en España;2005M04;8.290
39 Cantabria;Viajero;Residentes en España;2005M03;10.405
39 Cantabria;Viajero;Residentes en España;2005M02;4.577
39 Cantabria;Viajero;Residentes en España;2005M01;3.207
39 Cantabria;Viajero;Residentes en el Extranjero;2026M06;4.585
39 Cantabria;Viajero;Residentes en el Extranjero;2026M05;4.361
39 Cantabria;Viajero;Residentes en el Extranjero;2026M04;3.531
39 Cantabria;Viajero;Residentes en el Extranjero;2026M03;1.673
39 Cantabria;Viajero;Residentes en el Extranjero;2026M02;1.469
39 Cantabria;Viajero;Residentes en el Extranjero;2026M01;159
39 Cantabria;Viajero;Residentes en el Extranjero;2025M12;1.003
39 Cantabria;Viajero;Residentes en el Extranjero;2025M11;1.204
39 Cantabria;Viajero;Residentes en el Extranjero;2025M10;2.298
39 Cantabria;Viajero;Residentes en el Extranjero;2025M09;4.390
39 Cantabria;Viajero;Residentes en el Extranjero;2025M08;6.869
39 Cantabria;Viajero;Residentes en el Extranjero;2025M07;7.039
39 Cantabria;Viajero;Residentes en el Extranjero;2025M06;4.373
39 Cantabria;Viajero;Residentes en el Extranjero;2025M05;3.136
39 Cantabria;Viajero;Residentes en el Extranjero;2025M04;3.269
39 Cantabria;Viajero;Residentes en el Extranjero;2025M03;423
39 Cantabria;Viajero;Residentes en el Extranjero;2025M02;195
39 Cantabria;Viajero;Residentes en el Extranjero;2025M01;273
39 Cantabria;Viajero;Residentes en el Extranjero;2024M12;891
39 Cantabria;Viajero;Residentes en el Extranjero;2024M11;1.284
39 Cantabria;Viajero;Residentes en el Extranjero;2024M10;3.826
39 Cantabria;Viajero;Residentes en el Extranjero;2024M09;8.512
39 Cantabria;Viajero;Residentes en el Extranjero;2024M08;10.636
39 Cantabria;Viajero;Residentes en el Extranjero;2024M07;8.313
39 Cantabria;Viajero;Residentes en el Extranjero;2024M06;7.682
39 Cantabria;Viajero;Residentes en el Extranjero;2024M05;5.518
39 Cantabria;Viajero;Residentes en el Extranjero;2024M04;3.171
39 Cantabria;Viajero;Residentes en el Extranjero;2024M03;1.565
39 Cantabria;Viajero;Residentes en el Extranjero;2024M02;736
39 Cantabria;Viajero;Residentes en el Extranjero;2024M01;606
39 Cantabria;Viajero;Residentes en el Extranjero;2023M12;747
39 Cantabria;Viajero;Residentes en el Extranjero;2023M11;963
39 Cantabria;Viajero;Residentes en el Extranjero;2023M10;3.289
39 Cantabria;Viajero;Residentes en el Extranjero;2023M09;6.741
39 Cantabria;Viajero;Residentes en el Extranjero;2023M08;7.661
39 Cantabria;Viajero;Residentes en el Extranjero;2023M07;7.333
39 Cantabria;Viajero;Residentes en el Extranjero;2023M06;5.168
39 Cantabria;Viajero;Residentes en el Extranjero;2023M05;3.410
39 Cantabria;Viajero;Residentes en el Extranjero;2023M04;2.628
39 Cantabria;Viajero;Residentes en el Extranjero;2023M03;974
39 Cantabria;Viajero;Residentes en el Extranjero;2023M02;816
39 Cantabria;Viajero;Residentes en el Extranjero;2023M01;567
39 Cantabria;Viajero;Residentes en el Extranjero;2022M12;775
39 Cantabria;Viajero;Residentes en el Extranjero;2022M11;1.129
39 Cantabria;Viajero;Residentes en el Extranjero;2022M10;3.640
39 Cantabria;Viajero;Residentes en el Extranjero;2022M09;5.107
39 Cantabria;Viajero;Residentes en el Extranjero;2022M08;7.477
39 Cantabria;Viajero;Residentes en el Extranjero;2022M07;6.049
39 Cantabria;Viajero;Residentes en el Extranjero;2022M06;4.109
39 Cantabria;Viajero;Residentes en el Extranjero;2022M05;3.110
39 Cantabria;Viajero;Residentes en el Extranjero;2022M04;1.942
39 Cantabria;Viajero;Residentes en el Extranjero;2022M03;1.366
39 Cantabria;Viajero;Residentes en el Extranjero;2022M02;617
39 Cantabria;Viajero;Residentes en el Extranjero;2022M01;269
39 Cantabria;Viajero;Residentes en el Extranjero;2021M12;691
39 Cantabria;Viajero;Residentes en el Extranjero;2021M11;717
39 Cantabria;Viajero;Residentes en el Extranjero;2021M10;2.291
39 Cantabria;Viajero;Residentes en el Extranjero;2021M09;5.837
39 Cantabria;Viajero;Residentes en el Extranjero;2021M08;3.819
39 Cantabria;Viajero;Residentes en el Extranjero;2021M07;5.059
39 Cantabria;Viajero;Residentes en el Extranjero;2021M06;1.637
39 Cantabria;Viajero;Residentes en el Extranjero;2021M05;961
39 Cantabria;Viajero;Residentes en el Extranjero;2021M04;81
39 Cantabria;Viajero;Residentes en el Extranjero;2021M03;68
39 Cantabria;Viajero;Residentes en el Extranjero;2021M02;66
39 Cantabria;Viajero;Residentes en el Extranjero;2021M01;77
39 Cantabria;Viajero;Residentes en el Extranjero;2020M12;110
39 Cantabria;Viajero;Residentes en el Extranjero;2020M11;.
39 Cantabria;Viajero;Residentes en el Extranjero;2020M10;1.279
39 Cantabria;Viajero;Residentes en el Extranjero;2020M09;2.842
39 Cantabria;Viajero;Residentes en el Extranjero;2020M08;2.198
39 Cantabria;Viajero;Residentes en el Extranjero;2020M07;3.494
39 Cantabria;Viajero;Residentes en el Extranjero;2020M06;466
39 Cantabria;Viajero;Residentes en el Extranjero;2020M05;.
39 Cantabria;Viajero;Residentes en el Extranjero;2020M04;.
39 Cantabria;Viajero;Residentes en el Extranjero;2020M03;184
39 Cantabria;Viajero;Residentes en el Extranjero;2020M02;369
39 Cantabria;Viajero;Residentes en el Extranjero;2020M01;251
39 Cantabria;Viajero;Residentes en el Extranjero;2019M12;593
39 Cantabria;Viajero;Residentes en el Extranjero;2019M11;477
39 Cantabria;Viajero;Residentes en el Extranjero;2019M10;2.089
39 Cantabria;Viajero;Residentes en el Extranjero;2019M09;5.103
39 Cantabria;Viajero;Residentes en el Extranjero;2019M08;7.171
39 Cantabria;Viajero;Residentes en el Extranjero;2019M07;4.824
39 Cantabria;Viajero;Residentes en el Extranjero;2019M06;3.572
39 Cantabria;Viajero;Residentes en el Extranjero;2019M05;2.801
39 Cantabria;Viajero;Residentes en el Extranjero;2019M04;1.754
39 Cantabria;Viajero;Residentes en el Extranjero;2019M03;734
39 Cantabria;Viajero;Residentes en el Extranjero;2019M02;286
39 Cantabria;Viajero;Residentes en el Extranjero;2019M01;203
39 Cantabria;Viajero;Residentes en el Extranjero;2018M12;524
39 Cantabria;Viajero;Residentes en el Extranjero;2018M11;282
39 Cantabria;Viajero;Residentes en el Extranjero;2018M10;2.227
39 Cantabria;Viajero;Residentes en el Extranjero;2018M09;3.691
39 Cantabria;Viajero;Residentes en el Extranjero;2018M08;5.480
39 Cantabria;Viajero;Residentes en el Extranjero;2018M07;5.108
39 Cantabria;Viajero;Residentes en el Extranjero;2018M06;3.348
39 Cantabria;Viajero;Residentes en el Extranjero;2018M05;3.138
39 Cantabria;Viajero;Residentes en el Extranjero;2018M04;1.081
39 Cantabria;Viajero;Residentes en el Extranjero;2018M03;670
39 Cantabria;Viajero;Residentes en el Extranjero;2018M02;237
39 Cantabria;Viajero;Residentes en el Extranjero;2018M01;129
39 Cantabria;Viajero;Residentes en el Extranjero;2017M12;330
39 Cantabria;Viajero;Residentes en el Extranjero;2017M11;356
39 Cantabria;Viajero;Residentes en el Extranjero;2017M10;1.241
39 Cantabria;Viajero;Residentes en el Extranjero;2017M09;3.005
39 Cantabria;Viajero;Residentes en el Extranjero;2017M08;5.146
39 Cantabria;Viajero;Residentes en el Extranjero;2017M07;4.620
39 Cantabria;Viajero;Residentes en el Extranjero;2017M06;3.147
39 Cantabria;Viajero;Residentes en el Extranjero;2017M05;1.812
39 Cantabria;Viajero;Residentes en el Extranjero;2017M04;1.420
39 Cantabria;Viajero;Residentes en el Extranjero;2017M03;487
39 Cantabria;Viajero;Residentes en el Extranjero;2017M02;321
39 Cantabria;Viajero;Residentes en el Extranjero;2017M01;351
39 Cantabria;Viajero;Residentes en el Extranjero;2016M12;283
39 Cantabria;Viajero;Residentes en el Extranjero;2016M11;265
39 Cantabria;Viajero;Residentes en el Extranjero;2016M10;1.511
39 Cantabria;Viajero;Residentes en el Extranjero;2016M09;2.771
39 Cantabria;Viajero;Residentes en el Extranjero;2016M08;5.630
39 Cantabria;Viajero;Residentes en el Extranjero;2016M07;5.085
39 Cantabria;Viajero;Residentes en el Extranjero;2016M06;2.139
39 Cantabria;Viajero;Residentes en el Extranjero;2016M05;1.448
39 Cantabria;Viajero;Residentes en el Extranjero;2016M04;848
39 Cantabria;Viajero;Residentes en el Extranjero;2016M03;494
39 Cantabria;Viajero;Residentes en el Extranjero;2016M02;355
39 Cantabria;Viajero;Residentes en el Extranjero;2016M01;239
39 Cantabria;Viajero;Residentes en el Extranjero;2015M12;166
39 Cantabria;Viajero;Residentes en el Extranjero;2015M11;119
39 Cantabria;Viajero;Residentes en el Extranjero;2015M10;1.293
39 Cantabria;Viajero;Residentes en el Extranjero;2015M09;3.148
39 Cantabria;Viajero;Residentes en el Extranjero;2015M08;5.404
39 Cantabria;Viajero;Residentes en el Extranjero;2015M07;4.228
39 Cantabria;Viajero;Residentes en el Extranjero;2015M06;2.747
39 Cantabria;Viajero;Residentes en el Extranjero;2015M05;2.360
39 Cantabria;Viajero;Residentes en el Extranjero;2015M04;1.063
39 Cantabria;Viajero;Residentes en el Extranjero;2015M03;416
39 Cantabria;Viajero;Residentes en el Extranjero;2015M02;205
39 Cantabria;Viajero;Residentes en el Extranjero;2015M01;107
39 Cantabria;Viajero;Residentes en el Extranjero;2014M12;311
39 Cantabria;Viajero;Residentes en el Extranjero;2014M11;214
39 Cantabria;Viajero;Residentes en el Extranjero;2014M10;1.411
39 Cantabria;Viajero;Residentes en el Extranjero;2014M09;3.218
39 Cantabria;Viajero;Residentes en el Extranjero;2014M08;4.821
39 Cantabria;Viajero;Residentes en el Extranjero;2014M07;3.547
39 Cantabria;Viajero;Residentes en el Extranjero;2014M06;2.027
39 Cantabria;Viajero;Residentes en el Extranjero;2014M05;1.672
39 Cantabria;Viajero;Residentes en el Extranjero;2014M04;1.149
39 Cantabria;Viajero;Residentes en el Extranjero;2014M03;222
39 Cantabria;Viajero;Residentes en el Extranjero;2014M02;125
39 Cantabria;Viajero;Residentes en el Extranjero;2014M01;108
39 Cantabria;Viajero;Residentes en el Extranjero;2013M12;171
39 Cantabria;Viajero;Residentes en el Extranjero;2013M11;198
39 Cantabria;Viajero;Residentes en el Extranjero;2013M10;1.232
39 Cantabria;Viajero;Residentes en el Extranjero;2013M09;2.672
39 Cantabria;Viajero;Residentes en el Extranjero;2013M08;4.534
39 Cantabria;Viajero;Residentes en el Extranjero;2013M07;3.705
39 Cantabria;Viajero;Residentes en el Extranjero;2013M06;2.120
39 Cantabria;Viajero;Residentes en el Extranjero;2013M05;1.625
39 Cantabria;Viajero;Residentes en el Extranjero;2013M04;552
39 Cantabria;Viajero;Residentes en el Extranjero;2013M03;252
39 Cantabria;Viajero;Residentes en el Extranjero;2013M02;177
39 Cantabria;Viajero;Residentes en el Extranjero;2013M01;98
39 Cantabria;Viajero;Residentes en el Extranjero;2012M12;316
39 Cantabria;Viajero;Residentes en el Extranjero;2012M11;384
39 Cantabria;Viajero;Residentes en el Extranjero;2012M10;1.422
39 Cantabria;Viajero;Residentes en el Extranjero;2012M09;3.144
39 Cantabria;Viajero;Residentes en el Extranjero;2012M08;5.124
39 Cantabria;Viajero;Residentes en el Extranjero;2012M07;3.882
39 Cantabria;Viajero;Residentes en el Extranjero;2012M06;3.087
39 Cantabria;Viajero;Residentes en el Extranjero;2012M05;2.870
39 Cantabria;Viajero;Residentes en el Extranjero;2012M04;872
39 Cantabria;Viajero;Residentes en el Extranjero;2012M03;737
39 Cantabria;Viajero;Residentes en el Extranjero;2012M02;185
39 Cantabria;Viajero;Residentes en el Extranjero;2012M01;80
39 Cantabria;Viajero;Residentes en el Extranjero;2011M12;610
39 Cantabria;Viajero;Residentes en el Extranjero;2011M11;500
39 Cantabria;Viajero;Residentes en el Extranjero;2011M10;1.474
39 Cantabria;Viajero;Residentes en el Extranjero;2011M09;3.212
39 Cantabria;Viajero;Residentes en el Extranjero;2011M08;5.152
39 Cantabria;Viajero;Residentes en el Extranjero;2011M07;4.045
39 Cantabria;Viajero;Residentes en el Extranjero;2011M06;2.940
39 Cantabria;Viajero;Residentes en el Extranjero;2011M05;1.692
39 Cantabria;Viajero;Residentes en el Extranjero;2011M04;1.122
39 Cantabria;Viajero;Residentes en el Extranjero;2011M03;409
39 Cantabria;Viajero;Residentes en el Extranjero;2011M02;341
39 Cantabria;Viajero;Residentes en el Extranjero;2011M01;301
39 Cantabria;Viajero;Residentes en el Extranjero;2010M12;605
39 Cantabria;Viajero;Residentes en el Extranjero;2010M11;266
39 Cantabria;Viajero;Residentes en el Extranjero;2010M10;1.175
39 Cantabria;Viajero;Residentes en el Extranjero;2010M09;2.647
39 Cantabria;Viajero;Residentes en el Extranjero;2010M08;4.182
39 Cantabria;Viajero;Residentes en el Extranjero;2010M07;3.466
39 Cantabria;Viajero;Residentes en el Extranjero;2010M06;2.370
39 Cantabria;Viajero;Residentes en el Extranjero;2010M05;1.733
39 Cantabria;Viajero;Residentes en el Extranjero;2010M04;810
39 Cantabria;Viajero;Residentes en el Extranjero;2010M03;402
39 Cantabria;Viajero;Residentes en el Extranjero;2010M02;729
39 Cantabria;Viajero;Residentes en el Extranjero;2010M01;221
39 Cantabria;Viajero;Residentes en el Extranjero;2009M12;108
39 Cantabria;Viajero;Residentes en el Extranjero;2009M11;222
39 Cantabria;Viajero;Residentes en el Extranjero;2009M10;1.049
39 Cantabria;Viajero;Residentes en el Extranjero;2009M09;1.783
39 Cantabria;Viajero;Residentes en el Extranjero;2009M08;2.780
39 Cantabria;Viajero;Residentes en el Extranjero;2009M07;2.389
39 Cantabria;Viajero;Residentes en el Extranjero;2009M06;1.372
39 Cantabria;Viajero;Residentes en el Extranjero;2009M05;1.902
39 Cantabria;Viajero;Residentes en el Extranjero;2009M04;2.781
39 Cantabria;Viajero;Residentes en el Extranjero;2009M03;1.927
39 Cantabria;Viajero;Residentes en el Extranjero;2009M02;1.046
39 Cantabria;Viajero;Residentes en el Extranjero;2009M01;849
39 Cantabria;Viajero;Residentes en el Extranjero;2008M12;820
39 Cantabria;Viajero;Residentes en el Extranjero;2008M11;152
39 Cantabria;Viajero;Residentes en el Extranjero;2008M10;965
39 Cantabria;Viajero;Residentes en el Extranjero;2008M09;2.362
39 Cantabria;Viajero;Residentes en el Extranjero;2008M08;2.756
39 Cantabria;Viajero;Residentes en el Extranjero;2008M07;2.539
39 Cantabria;Viajero;Residentes en el Extranjero;2008M06;1.288
39 Cantabria;Viajero;Residentes en el Extranjero;2008M05;939
39 Cantabria;Viajero;Residentes en el Extranjero;2008M04;546
39 Cantabria;Viajero;Residentes en el Extranjero;2008M03;235
39 Cantabria;Viajero;Residentes en el Extranjero;2008M02;200
39 Cantabria;Viajero;Residentes en el Extranjero;2008M01;190
39 Cantabria;Viajero;Residentes en el Extranjero;2007M12;171
39 Cantabria;Viajero;Residentes en el Extranjero;2007M11;382
39 Cantabria;Viajero;Residentes en el Extranjero;2007M10;827
39 Cantabria;Viajero;Residentes en el Extranjero;2007M09;1.774
39 Cantabria;Viajero;Residentes en el Extranjero;2007M08;2.863
39 Cantabria;Viajero;Residentes en el Extranjero;2007M07;3.164
39 Cantabria;Viajero;Residentes en el Extranjero;2007M06;1.222
39 Cantabria;Viajero;Residentes en el Extranjero;2007M05;1.132
39 Cantabria;Viajero;Residentes en el Extranjero;2007M04;680
39 Cantabria;Viajero;Residentes en el Extranjero;2007M03;372
39 Cantabria;Viajero;Residentes en el Extranjero;2007M02;326
39 Cantabria;Viajero;Residentes en el Extranjero;2007M01;32
39 Cantabria;Viajero;Residentes en el Extranjero;2006M12;470
39 Cantabria;Viajero;Residentes en el Extranjero;2006M11;165
39 Cantabria;Viajero;Residentes en el Extranjero;2006M10;904
39 Cantabria;Viajero;Residentes en el Extranjero;2006M09;1.269
39 Cantabria;Viajero;Residentes en el Extranjero;2006M08;2.893
39 Cantabria;Viajero;Residentes en el Extranjero;2006M07;1.512
39 Cantabria;Viajero;Residentes en el Extranjero;2006M06;2.313
39 Cantabria;Viajero;Residentes en el Extranjero;2006M05;1.187
39 Cantabria;Viajero;Residentes en el Extranjero;2006M04;1.057
39 Cantabria;Viajero;Residentes en el Extranjero;2006M03;862
39 Cantabria;Viajero;Residentes en el Extranjero;2006M02;174
39 Cantabria;Viajero;Residentes en el Extranjero;2006M01;659
39 Cantabria;Viajero;Residentes en el Extranjero;2005M12;167
39 Cantabria;Viajero;Residentes en el Extranjero;2005M11;215
39 Cantabria;Viajero;Residentes en el Extranjero;2005M10;724
39 Cantabria;Viajero;Residentes en el Extranjero;2005M09;1.572
39 Cantabria;Viajero;Residentes en el Extranjero;2005M08;2.796
39 Cantabria;Viajero;Residentes en el Extranjero;2005M07;2.732
39 Cantabria;Viajero;Residentes en el Extranjero;2005M06;1.548
39 Cantabria;Viajero;Residentes en el Extranjero;2005M05;1.581
39 Cantabria;Viajero;Residentes en el Extranjero;2005M04;314
39 Cantabria;Viajero;Residentes en el Extranjero;2005M03;533
39 Cantabria;Viajero;Residentes en el Extranjero;2005M02;664
39 Cantabria;Viajero;Residentes en el Extranjero;2005M01;28
39 Cantabria;Pernoctaciones;Residentes en España;2026M06;55.937
39 Cantabria;Pernoctaciones;Residentes en España;2026M05;37.321
39 Cantabria;Pernoctaciones;Residentes en España;2026M04;49.274
39 Cantabria;Pernoctaciones;Residentes en España;2026M03;23.153
39 Cantabria;Pernoctaciones;Residentes en España;2026M02;10.321
39 Cantabria;Pernoctaciones;Residentes en España;2026M01;15.401
39 Cantabria;Pernoctaciones;Residentes en España;2025M12;30.170
39 Cantabria;Pernoctaciones;Residentes en España;2025M11;20.231
39 Cantabria;Pernoctaciones;Residentes en España;2025M10;30.289
39 Cantabria;Pernoctaciones;Residentes en España;2025M09;48.218
39 Cantabria;Pernoctaciones;Residentes en España;2025M08;167.130
39 Cantabria;Pernoctaciones;Residentes en España;2025M07;128.878
39 Cantabria;Pernoctaciones;Residentes en España;2025M06;54.381
39 Cantabria;Pernoctaciones;Residentes en España;2025M05;39.522
39 Cantabria;Pernoctaciones;Residentes en España;2025M04;46.866
39 Cantabria;Pernoctaciones;Residentes en España;2025M03;16.639
39 Cantabria;Pernoctaciones;Residentes en España;2025M02;11.863
39 Cantabria;Pernoctaciones;Residentes en España;2025M01;9.207
39 Cantabria;Pernoctaciones;Residentes en España;2024M12;26.666
39 Cantabria;Pernoctaciones;Residentes en España;2024M11;20.779
39 Cantabria;Pernoctaciones;Residentes en España;2024M10;29.062
39 Cantabria;Pernoctaciones;Residentes en España;2024M09;58.116
39 Cantabria;Pernoctaciones;Residentes en España;2024M08;171.582
39 Cantabria;Pernoctaciones;Residentes en España;2024M07;105.542
39 Cantabria;Pernoctaciones;Residentes en España;2024M06;41.843
39 Cantabria;Pernoctaciones;Residentes en España;2024M05;36.385
39 Cantabria;Pernoctaciones;Residentes en España;2024M04;24.478
39 Cantabria;Pernoctaciones;Residentes en España;2024M03;40.517
39 Cantabria;Pernoctaciones;Residentes en España;2024M02;12.101
39 Cantabria;Pernoctaciones;Residentes en España;2024M01;9.232
39 Cantabria;Pernoctaciones;Residentes en España;2023M12;26.994
39 Cantabria;Pernoctaciones;Residentes en España;2023M11;16.577
39 Cantabria;Pernoctaciones;Residentes en España;2023M10;42.237
39 Cantabria;Pernoctaciones;Residentes en España;2023M09;66.632
39 Cantabria;Pernoctaciones;Residentes en España;2023M08;177.374
39 Cantabria;Pernoctaciones;Residentes en España;2023M07;115.599
39 Cantabria;Pernoctaciones;Residentes en España;2023M06;44.931
39 Cantabria;Pernoctaciones;Residentes en España;2023M05;28.085
39 Cantabria;Pernoctaciones;Residentes en España;2023M04;47.341
39 Cantabria;Pernoctaciones;Residentes en España;2023M03;22.152
39 Cantabria;Pernoctaciones;Residentes en España;2023M02;14.657
39 Cantabria;Pernoctaciones;Residentes en España;2023M01;9.593
39 Cantabria;Pernoctaciones;Residentes en España;2022M12;24.168
39 Cantabria;Pernoctaciones;Residentes en España;2022M11;18.964
39 Cantabria;Pernoctaciones;Residentes en España;2022M10;44.265
39 Cantabria;Pernoctaciones;Residentes en España;2022M09;63.130
39 Cantabria;Pernoctaciones;Residentes en España;2022M08;178.612
39 Cantabria;Pernoctaciones;Residentes en España;2022M07;127.046
39 Cantabria;Pernoctaciones;Residentes en España;2022M06;49.533
39 Cantabria;Pernoctaciones;Residentes en España;2022M05;40.723
39 Cantabria;Pernoctaciones;Residentes en España;2022M04;50.402
39 Cantabria;Pernoctaciones;Residentes en España;2022M03;20.696
39 Cantabria;Pernoctaciones;Residentes en España;2022M02;20.338
39 Cantabria;Pernoctaciones;Residentes en España;2022M01;10.741
39 Cantabria;Pernoctaciones;Residentes en España;2021M12;27.258
39 Cantabria;Pernoctaciones;Residentes en España;2021M11;19.569
39 Cantabria;Pernoctaciones;Residentes en España;2021M10;50.457
39 Cantabria;Pernoctaciones;Residentes en España;2021M09;67.940
39 Cantabria;Pernoctaciones;Residentes en España;2021M08;179.133
39 Cantabria;Pernoctaciones;Residentes en España;2021M07;118.263
39 Cantabria;Pernoctaciones;Residentes en España;2021M06;42.252
39 Cantabria;Pernoctaciones;Residentes en España;2021M05;13.165
39 Cantabria;Pernoctaciones;Residentes en España;2021M04;7.058
39 Cantabria;Pernoctaciones;Residentes en España;2021M03;5.269
39 Cantabria;Pernoctaciones;Residentes en España;2021M02;3.511
39 Cantabria;Pernoctaciones;Residentes en España;2021M01;2.211
39 Cantabria;Pernoctaciones;Residentes en España;2020M12;3.176
39 Cantabria;Pernoctaciones;Residentes en España;2020M11;.
39 Cantabria;Pernoctaciones;Residentes en España;2020M10;21.578
39 Cantabria;Pernoctaciones;Residentes en España;2020M09;48.298
39 Cantabria;Pernoctaciones;Residentes en España;2020M08;154.727
39 Cantabria;Pernoctaciones;Residentes en España;2020M07;85.745
39 Cantabria;Pernoctaciones;Residentes en España;2020M06;9.570
39 Cantabria;Pernoctaciones;Residentes en España;2020M05;.
39 Cantabria;Pernoctaciones;Residentes en España;2020M04;.
39 Cantabria;Pernoctaciones;Residentes en España;2020M03;5.942
39 Cantabria;Pernoctaciones;Residentes en España;2020M02;18.354
39 Cantabria;Pernoctaciones;Residentes en España;2020M01;10.751
39 Cantabria;Pernoctaciones;Residentes en España;2019M12;27.204
39 Cantabria;Pernoctaciones;Residentes en España;2019M11;23.284
39 Cantabria;Pernoctaciones;Residentes en España;2019M10;25.120
39 Cantabria;Pernoctaciones;Residentes en España;2019M09;53.297
39 Cantabria;Pernoctaciones;Residentes en España;2019M08;160.170
39 Cantabria;Pernoctaciones;Residentes en España;2019M07;90.889
39 Cantabria;Pernoctaciones;Residentes en España;2019M06;40.413
39 Cantabria;Pernoctaciones;Residentes en España;2019M05;31.854
39 Cantabria;Pernoctaciones;Residentes en España;2019M04;46.800
39 Cantabria;Pernoctaciones;Residentes en España;2019M03;25.384
39 Cantabria;Pernoctaciones;Residentes en España;2019M02;13.927
39 Cantabria;Pernoctaciones;Residentes en España;2019M01;8.491
39 Cantabria;Pernoctaciones;Residentes en España;2018M12;24.228
39 Cantabria;Pernoctaciones;Residentes en España;2018M11;20.182
39 Cantabria;Pernoctaciones;Residentes en España;2018M10;31.724
39 Cantabria;Pernoctaciones;Residentes en España;2018M09;50.013
39 Cantabria;Pernoctaciones;Residentes en España;2018M08;158.404
39 Cantabria;Pernoctaciones;Residentes en España;2018M07;87.631
39 Cantabria;Pernoctaciones;Residentes en España;2018M06;39.791
39 Cantabria;Pernoctaciones;Residentes en España;2018M05;25.212
39 Cantabria;Pernoctaciones;Residentes en España;2018M04;31.601
39 Cantabria;Pernoctaciones;Residentes en España;2018M03;35.543
39 Cantabria;Pernoctaciones;Residentes en España;2018M02;14.694
39 Cantabria;Pernoctaciones;Residentes en España;2018M01;11.160
39 Cantabria;Pernoctaciones;Residentes en España;2017M12;28.957
39 Cantabria;Pernoctaciones;Residentes en España;2017M11;17.785
39 Cantabria;Pernoctaciones;Residentes en España;2017M10;32.583
39 Cantabria;Pernoctaciones;Residentes en España;2017M09;47.843
39 Cantabria;Pernoctaciones;Residentes en España;2017M08;155.301
39 Cantabria;Pernoctaciones;Residentes en España;2017M07;104.135
39 Cantabria;Pernoctaciones;Residentes en España;2017M06;40.709
39 Cantabria;Pernoctaciones;Residentes en España;2017M05;29.069
39 Cantabria;Pernoctaciones;Residentes en España;2017M04;57.121
39 Cantabria;Pernoctaciones;Residentes en España;2017M03;20.748
39 Cantabria;Pernoctaciones;Residentes en España;2017M02;16.035
39 Cantabria;Pernoctaciones;Residentes en España;2017M01;9.259
39 Cantabria;Pernoctaciones;Residentes en España;2016M12;22.922
39 Cantabria;Pernoctaciones;Residentes en España;2016M11;13.366
39 Cantabria;Pernoctaciones;Residentes en España;2016M10;28.780
39 Cantabria;Pernoctaciones;Residentes en España;2016M09;50.871
39 Cantabria;Pernoctaciones;Residentes en España;2016M08;151.997
39 Cantabria;Pernoctaciones;Residentes en España;2016M07;93.934
39 Cantabria;Pernoctaciones;Residentes en España;2016M06;32.635
39 Cantabria;Pernoctaciones;Residentes en España;2016M05;25.487
39 Cantabria;Pernoctaciones;Residentes en España;2016M04;22.890
39 Cantabria;Pernoctaciones;Residentes en España;2016M03;36.881
39 Cantabria;Pernoctaciones;Residentes en España;2016M02;15.322
39 Cantabria;Pernoctaciones;Residentes en España;2016M01;10.170
39 Cantabria;Pernoctaciones;Residentes en España;2015M12;21.561
39 Cantabria;Pernoctaciones;Residentes en España;2015M11;15.034
39 Cantabria;Pernoctaciones;Residentes en España;2015M10;26.857
39 Cantabria;Pernoctaciones;Residentes en España;2015M09;37.859
39 Cantabria;Pernoctaciones;Residentes en España;2015M08;130.741
39 Cantabria;Pernoctaciones;Residentes en España;2015M07;76.816
39 Cantabria;Pernoctaciones;Residentes en España;2015M06;30.574
39 Cantabria;Pernoctaciones;Residentes en España;2015M05;25.656
39 Cantabria;Pernoctaciones;Residentes en España;2015M04;30.364
39 Cantabria;Pernoctaciones;Residentes en España;2015M03;19.510
39 Cantabria;Pernoctaciones;Residentes en España;2015M02;12.297
39 Cantabria;Pernoctaciones;Residentes en España;2015M01;9.359
39 Cantabria;Pernoctaciones;Residentes en España;2014M12;15.812
39 Cantabria;Pernoctaciones;Residentes en España;2014M11;14.671
39 Cantabria;Pernoctaciones;Residentes en España;2014M10;20.151
39 Cantabria;Pernoctaciones;Residentes en España;2014M09;36.502
39 Cantabria;Pernoctaciones;Residentes en España;2014M08;114.519
39 Cantabria;Pernoctaciones;Residentes en España;2014M07;61.766
39 Cantabria;Pernoctaciones;Residentes en España;2014M06;24.512
39 Cantabria;Pernoctaciones;Residentes en España;2014M05;22.727
39 Cantabria;Pernoctaciones;Residentes en España;2014M04;30.628
39 Cantabria;Pernoctaciones;Residentes en España;2014M03;11.082
39 Cantabria;Pernoctaciones;Residentes en España;2014M02;8.783
39 Cantabria;Pernoctaciones;Residentes en España;2014M01;8.318
39 Cantabria;Pernoctaciones;Residentes en España;2013M12;13.985
39 Cantabria;Pernoctaciones;Residentes en España;2013M11;15.175
39 Cantabria;Pernoctaciones;Residentes en España;2013M10;18.303
39 Cantabria;Pernoctaciones;Residentes en España;2013M09;32.204
39 Cantabria;Pernoctaciones;Residentes en España;2013M08;109.761
